Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2014-09-10T04:43:14.014,2,0.0048799539170595275,-2.4938332681541358,FoVF,-0.5706373230578624,0.7232691930437464,2456910.7001970895
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2014-09-10T08:56:54.040,6,-0.0050336143962145755,-2.486050422029057,FoVP,-0.5742943357856123,0.7188794972200845,2456910.876368296
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2014-12-25T00:29:17.105,4,-9.408425054450107E-4,-1.1419653351364343,FoVP,0.3216776012724047,0.7002383715407796,2457016.524947303
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-01-13T02:21:33.118,3,0.003624567234205708,0.20171639330621446,FoVF,-0.5862422581662473,0.7015083540820608,2457035.6015199237
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-01-13T06:35:13.172,7,-0.005886466694417051,0.21089876992031076,FoVP,-0.5921498993776563,0.6978955578730514,2457035.7776636896
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-02-14T00:10:23.870,5,-0.003551622324615537,-0.9982591158988853,FoVP,0.6944989653791661,0.7049597839433798,2457067.507647808
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-03-26T17:15:30.572,1,0.004779802495999464,0.5780307417024851,FoVP,-0.28466856707009897,0.7058686668470776,2457108.2163188765
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-03-26T19:02:04.850,3,0.0030534735616307707,0.5729152710135169,FoVF,-0.2800750810285103,0.7070037055558152,2457108.2903221715
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-03-26T23:15:44.915,4,-8.694484147678589E-4,0.5606791017989268,FoVP,-0.2690840772808897,0.7096021851141873,2457108.4664695086
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-03-27T01:02:19.095,6,-0.002439063498669495,0.5555143153730562,FoVF,-0.26444335091567794,0.7106496599397427,2457108.540471687
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-03-27T05:15:58.934,7,-0.00598773162586423,0.5431664140357311,FoVP,-0.2533446335742166,0.713035269729597,2457108.7166164713
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-03-31T23:20:05.504,5,-0.0034083598579506907,0.20111927506506663,FoVP,0.05163489760762098,0.7122288258529521,2457113.469193564
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-04-01T01:06:39.665,6,-0.0019630620794077913,0.19593435842044518,FoVF,0.05611756513682127,0.7112160013702852,2457113.5431959694
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-04-01T05:20:19.677,2,0.001631258529977942,0.18363783913299855,FoVP,0.06671863858622605,0.7086937276079072,2457113.719343799
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-04-01T07:06:53.930,3,0.0032053712389654575,0.1784912985214642,FoVF,0.0711427518277428,0.7075878261155091,2457113.7933472777
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-07-10T13:59:12.251,5,-0.0033563530576498773,-3.0237894060406862,FoVP,-0.5614748627862985,0.7295893247041729,2457214.0811441955
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2015-09-02T15:23:19.282,4,0.0012922403564600707,-2.5070868271858915,FoVF,-0.6411168897857988,0.7232480013596848,2457268.144114381
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-01-03T19:38:20.073,5,-0.0031001017878550304,-1.1975514618086094,FoVP,0.48206316500111684,0.7003528544259319,2457391.32227597
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-01-03T21:24:54.298,4,7.862648768183571E-4,-1.1935798517850973,FoVF,0.48017617117450834,0.7023277359737014,2457391.3962777867
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-01-28T03:20:51.178,3,0.002956481507632861,0.41009896727947814,FoVF,-0.6836581006285556,0.7009362353657154,2457415.6414726647
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-02-24T13:18:21.272,4,-0.0018733596743276723,-0.8801304132412712,FoVP,0.6539735964665685,0.7076073853180962,2457443.053958971
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-02-24T15:04:55.485,3,0.0034948080807040136,-0.8812635165640861,FoVF,0.6550448600882952,0.7062362531172961,2457443.1279596663
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-07-20T03:05:25.481,1,0.0043247236757816805,-2.852546116965916,FoVP,-0.6532920931142092,0.7247067187683292,2457589.62795378
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-07-20T04:51:59.699,5,-6.833793710219923E-4,-2.8539574730925374,FoVF,-0.6520267115009972,0.7262926105130462,2457589.701966987
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-08-16T14:54:01.787,3,0.001137828148285768,2.1349460863086596,FoVP,0.7184437018025295,0.7226583964927635,2457617.1224064734
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-08-16T16:40:35.979,1,0.006201080230718735,2.136298772226785,FoVF,0.7178227902828267,0.7231288152526405,2457617.1964197927
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-09-12T14:47:07.213,1,0.0047985065688648096,-2.4929910108341917,FoVP,-0.5345361711681381,0.7230782763480781,2457644.119832588
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2016-09-12T16:33:41.388,4,8.25966704161361E-4,-2.489474009545347,FoVF,-0.5362122793929464,0.7211765873682002,2457644.1938447603
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2017-01-13T08:48:14.341,1,0.003729380529050797,-1.1873075708667313,FoVP,0.5923331006275177,0.7054037563473956,2457766.8700492945
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2017-02-10T15:54:14.882,6,-0.004635330089759149,0.5411484543488885,FoVP,-0.7045312000722012,0.7028194102094621,2457795.1634077537
009,0.9290089750475672,-0.16507617629742558,03:32:54.790,-09:27:29.406,2017-03-05T21:47:24.342,1,0.0034302457383625245,-0.7284773904069938,FoVP,0.580502787049669,0.7086640996411308,2457818.4066427085
