Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-09-12T21:22:30.655,2,0.0020355205165823276,-2.27973653282602,FoVP,-0.42910866713819107,0.7214066757180251,2456913.3949536765
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-09-12T23:09:04.857,5,-8.447327988094377E-4,-2.275284698798993,FoVF,-0.431171852233548,0.7197186514192141,2456913.4689637166
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-19T06:38:42.402,7,-0.006883876879351747,-2.124440431815311,FoVP,0.06975057563849593,0.7077105746633615,2456949.7819903344
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-19T12:38:57.030,7,-0.005814204726039884,-2.106165737604802,FoVP,0.06115937684963864,0.708395869068346,2456950.0321596484
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-19T18:39:11.594,6,-0.004873198276690144,-2.0878815446684778,FoVP,0.05255740686812098,0.7089908283118005,2456950.282328155
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-19T20:25:45.892,7,-0.004619472004566951,-2.08247077900045,FoVF,0.050010762255998674,0.7091494856033026,2456950.3563361974
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-20T00:39:26.104,6,-0.004060813363558455,-2.069588731215136,FoVP,0.043945824381073806,0.7094952079546427,2456950.5324959476
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-20T02:26:00.387,7,-0.003845133497331818,-2.0641755840569163,FoVF,0.04139656122180834,0.7096270253734083,2456950.6065037963
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-20T06:39:40.567,5,-0.0033770353722561174,-2.051288178297248,FoVP,0.03532580851634476,0.7099087870776599,2456950.782663119
009,0.7336898765885826,-0.5484432966450015,02:48:08.960,-31:25:24.550,2014-10-20T08:26:14.838,6,-0.0031994032506565736,-2.045872910850111,FoVF,0.03277427919896279,0.710013703802954,2456950.856670802
