first,second
extended_traces,false
checked_round,0
extractor,nothing
record,"Function[Pigeons.traces, Pigeons.round_trip, Pigeons.log_sum_ratio, Pigeons.timing_extrema, Pigeons.allocation_extrema, Pigeons.log_sum_ratio, Pigeons.timing_extrema, Pigeons.allocation_extrema, Pigeons.round_trip, Pigeons.energy_ac1, Pigeons.online]"
multithreaded,true
show_report,true
n_chains,24
variational,"GaussianReference(Dict{Symbol, Any}(:singleton_variable => [3.5097286628749766, 0.1426682109745279, -2.1687932557948986, 0.5240220450306916, 0.007290847946758628, 0.5643618190210207, 0.09395704966117727, -1.9344330522737514]), Dict{Symbol, Any}(:singleton_variable => [0.002274323981300771, 0.08583199320038656, 1.9117371145243687, 1.5571350472972398, 0.7012993235424814, 2.177086267539536, 2.105333169185241, 0.07656384804026609]), 6)"
explorer,"Compose{...}(SliceSampler(10.0, 10, 3, 1024), AutoMALA{Nothing, Pigeons.MixDiagonalPreconditioner{Rational{Int64}}}(3, 0.35, :ForwardDiff, 1.0, Pigeons.MixDiagonalPreconditioner{Rational{Int64}}(1//3, 1//3), nothing))"
n_chains_variational,8
