round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,10.996053999265516,5.0,0.311456709,4.647268e7,-2.952652722994335e6
2,4,0,4.444025413486045,4.0,0.051174209,2.3915352e7,-68603.05079048054
3,8,0,4.8958180350011915,4.999999999999984,0.07849825,5.351536e7,-1.217457797034902e6
4,16,0,7.081914120057495,5.78269211836401,0.164926875,1.16691616e8,-184369.9902271572
5,32,0,10.481845666812369,6.726534836559201,0.346871542,2.47043936e8,-146829.56449674006
6,64,0,12.13470132715255,6.586433498787181,0.744190459,5.16824576e8,-45438.333648276275
7,128,0,11.387447761580658,6.08860525212381,2.342300375,1.220205416e9,-2360.1340529778968
8,256,0,11.4072846229328,5.857686552858018,3.273556709,2.479603184e9,-58.953020798227655
9,512,4,11.390362460169838,5.728124257909702,7.428670208,5.466743104e9,-806.0617440900394
10,1024,7,11.201822078856228,5.043847389047378,15.347837042,1.1410176816e10,-262.39600827653317
