round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,9.0,,0.040967333,3.292008e7,-913825.1354044669
2,4,0,6.3443585541106335,,0.031992084,1.5724672e7,-21849.608200167168
3,8,0,7.389236230584464,,0.15284475,1.04772064e8,-101968.81684542535
4,16,0,9.738870423124167,,0.35734825,2.48917072e8,-8523.006885753774
5,32,0,12.274019732277845,,0.336608333,1.62048144e8,-3381.450266995358
6,64,0,12.321183980290243,,0.6292755,3.20068976e8,-579.0276925364125
7,128,0,10.356926748300792,,1.307706166,6.68836016e8,-877.3140032645028
8,256,0,9.854175605887832,,2.830099125,1.43527784e9,-62.65583466421452
9,512,0,9.42619980810009,,5.9847045,2.991158064e9,-38.663704795872796
10,1024,0,9.660877420821869,,12.331453333,6.261317632e9,-27.002421907643814
11,2048,0,10.28391320047889,,26.775624625,1.320629056e10,-28.228992722176173
12,4096,3,10.795036281739321,,56.672679458,2.9185049904e10,-28.682638968779507
