start,end,duration,comment,persistent
1195.74566,1195.767,0.02134,AOCS loss of convergence,TRUE
1195.78733,1195.80539,0.01806,Unknown (most likely ground-processing issue),FALSE
1198.23316,1198.23872,0.00556,Unknown (most likely ground-processing issue),FALSE
1205.21197,1205.2129,0.00093,Micro-meteoroid hit,TRUE
1212.05261,1212.11094,0.05833,Unknown (most likely ground-processing issue),FALSE
1222.91258,1222.91443,0.00185,Micro-meteoroid hit,TRUE
1241.8415,1241.89289,0.05139,Payload data handling unit update,FALSE
1243.86372,1243.91372,0.05,Unknown (most likely ground-processing issue),FALSE
1246.0817,1246.08401,0.00231,Micro-meteoroid hit,TRUE
1261.36233,1261.5665,0.20417,Station-keeping manoeuvre #11,FALSE
1264.92938,1264.93054,0.00116,Micro-meteoroid hit,TRUE
1297.89289,1297.93733,0.04444,Payload data handling unit update,FALSE
1305.39327,1305.39512,0.00185,Micro-meteoroid hit,TRUE
1311.21511,1311.29011,0.075,Unknown (most likely ground-processing issue),FALSE
1312.03455,1312.08316,0.04861,Unknown (most likely ground-processing issue),FALSE
1316.06233,1316.11094,0.04861,Unknown (most likely ground-processing issue),FALSE
1316.36789,1389.11279,72.74491,Decontamination( includes station-keeping manoeuvre #12),TRUE
1390.53331,1390.53493,0.00162,Micro-meteoroid hit,TRUE
1401.75261,1402.06511,0.3125,Unknown (most likely ground-processing issue),FALSE
1403.51094,1403.60816,0.09722,Payload data handling unit update,FALSE
1403.91927,1403.92344,0.00417,Payload data handling unit update,FALSE
1403.9665,1403.97205,0.00556,Payload data handling unit update,FALSE
1404.01372,1404.01788,0.00417,Payload data handling unit update,FALSE
1404.06094,1404.11233,0.05139,Payload data handling unit update,FALSE
1404.15538,1404.15955,0.00417,Payload data handling unit update,FALSE
1404.20261,1404.20677,0.00417,Payload data handling unit update,FALSE
1404.36233,1404.70122,0.33889,Unknown (most likely ground-processing issue),FALSE
1411.74253,1411.75317,0.01065,Micro-meteoroid hit,TRUE
1431.87761,1431.88177,0.00417,Payload data handling unit update,FALSE
1432.18354,1432.18516,0.00162,Micro-meteoroid hit,TRUE
1443.9625,1443.971,0.0085,Refocus,TRUE
1456.66927,1456.67483,0.00556,Payload data handling unit update,FALSE
1471.94149,1472.23733,0.29583,Micro-propulsion sub-system calibration,FALSE
1484.51511,1484.56511,0.05,Unknown (most likely ground-processing issue),FALSE
1498.04844,1498.24149,0.19306,Station-keeping manoeuvre #13,FALSE
1498.30261,1498.37066,0.06806,Station-keeping manoeuvre #13,FALSE
1503.72428,1503.72521,0.00093,Micro-meteoroid hit,TRUE
1508.94705,1508.95399,0.00694,Payload data handling unit update,FALSE
1510.48961,1510.49077,0.00116,Micro-meteoroid hit,TRUE
1514.78262,1514.78377,0.00116,Micro-meteoroid hit,TRUE
1516.82205,1517.20677,0.38472,Lunar eclipse,FALSE
1517.4026,1517.49705,0.09444,Lunar eclipse,FALSE
1517.59705,1517.69149,0.09444,Lunar eclipse,FALSE
1517.7901,1517.88455,0.09444,Lunar eclipse,FALSE
1517.98733,1518.08455,0.09722,Lunar eclipse,FALSE
1525.816,1525.81715,0.00116,Micro-meteoroid hit,TRUE
1527.06788,1527.1651,0.09722,Unknown (most likely ground-processing issue),FALSE
1584.20896,1584.21035,0.00139,Micro-meteoroid hit,TRUE
1588.55984,1588.56377,0.00394,Micro-meteoroid hit,TRUE
1606.50399,1606.69983,0.19583,Station-keeping manoeuvre #14,FALSE
1623.57095,1624.21706,0.64611,AOCS loss of convergence,TRUE
1625.07808,1625.08456,0.00648,Micro-meteoroid hit,TRUE
1628.61641,1628.61919,0.00278,Micro-meteoroid hit,TRUE
1637.77831,1637.77924,0.00093,Micro-meteoroid hit,TRUE
1648.46233,1648.47344,0.01111,Payload data handling unit anomaly,FALSE
1649.00677,1649.00955,0.00278,Payload data handling unit anomaly,FALSE
1649.11649,1649.13316,0.01667,Payload data handling unit anomaly,FALSE
1649.57621,1649.58733,0.01111,Payload data handling unit anomaly,FALSE
1649.65121,1649.67205,0.02083,Payload data handling unit anomaly,FALSE
1649.80816,1649.81233,0.00417,Payload data handling unit anomaly,FALSE
1649.83455,1649.83594,0.00139,Payload data handling unit anomaly,FALSE
1649.99566,1649.99705,0.00139,Payload data handling unit anomaly,FALSE
1650.02483,1650.03038,0.00556,Payload data handling unit anomaly,FALSE
1650.06371,1650.06927,0.00556,Payload data handling unit anomaly,FALSE
1650.16649,1650.18316,0.01667,Payload data handling unit anomaly,FALSE
1650.20677,1650.22205,0.01528,Payload data handling unit anomaly,FALSE
1650.2776,1650.28316,0.00556,Payload data handling unit anomaly,FALSE
1650.33316,1650.33733,0.00417,Payload data handling unit anomaly,FALSE
1650.48733,1650.49288,0.00556,Payload data handling unit anomaly,FALSE
1650.5776,1650.58871,0.01111,Payload data handling unit anomaly,FALSE
1650.77483,1650.78455,0.00972,Payload data handling unit anomaly,FALSE
1650.83455,1650.8401,0.00556,Payload data handling unit anomaly,FALSE
1650.95816,1650.96649,0.00833,Payload data handling unit anomaly,FALSE
1651.02344,1651.03038,0.00694,Payload data handling unit anomaly,FALSE
1651.06094,1651.06649,0.00556,Payload data handling unit anomaly,FALSE
1651.09288,1651.1026,0.00972,Payload data handling unit anomaly,FALSE
1651.17066,1651.83455,0.66389,Payload data handling unit update,FALSE
1652.33455,1652.45399,0.11944,VPU-7 anomaly,FALSE
1653.55955,1656.02344,2.46389,Phased-array antenna anomaly,FALSE
1656.22951,1656.23067,0.00116,Micro-meteoroid hit,TRUE
1672.82961,1672.83146,0.00185,Micro-meteoroid hit,TRUE
1689.29706,1689.29822,0.00116,Micro-meteoroid hit,TRUE
1697.76974,1697.7709,0.00116,Micro-meteoroid hit,TRUE
1731.8776,1731.97482,0.09722,Unknown (most likely ground-processing issue),FALSE
1733.89553,1733.89646,0.00093,Micro-meteoroid hit,TRUE
1770.01371,1770.49705,0.48333,Station-keeping manoeuvre #15,FALSE
1773.70955,1773.83593,0.12639,VPU-5 anomaly,FALSE
1776.93678,1777.24247,0.30569,AOCS loss of convergence,TRUE
1784.56136,1784.56576,0.0044,Micro-meteoroid hit,TRUE
1788.1151,1788.17205,0.05694,Cebreros data loss,FALSE
1789.94982,1789.95538,0.00556,Cebreros data loss,FALSE
1793.18442,1793.18743,0.00301,Micro-meteoroid hit,TRUE
1811.57066,1812.46649,0.89583,Unknown (most likely ground-processing issue),FALSE
1819.03316,1819.06371,0.03056,Unknown (most likely ground-processing issue),FALSE
1820.61927,1820.65399,0.03472,Phased-array antenna anomaly,FALSE
1820.69149,1823.85677,3.16528,Phased-array antenna anomaly,FALSE
1828.06093,1828.19566,0.13472,Unknown (most likely ground-processing issue),FALSE
