start,end,duration,description
1220.400,1225.200,4.800,VPU reset 
1316.490,1389.113,72.623,decontamination {\#}4 
1443.800,1444.200,0.400,refocus (following FoV) 
1653.800,1660.000,6.200,PAA anomaly 
1820.900,1830.000,9.100,PAA anomaly 
2094.000,2099.000,5.000,PDHU anomaly 
2179.125,2191.000,11.875,VPU software update 
2192.252,2195.218,2.967,observation gap
2238.000,2242.000,4.000,unknown 
2322.300,2401.559,79.259,decontamination {\#}5
2405.967,2408.643,2.676,observation gap
2408.935,2409.968,1.033,observation gap
2574.640,2575.400,0.760,refocus (preceding FoV)
2954.200,2958.000,3.800,moon eclipse 
3045.133,3049.000,3.867,PDHU anomaly
3603.250,3605.227,1.976,observation gap
3646.800,3650.000,3.200,moon eclipse 
3663.700,3667.000,3.300,moon eclipse 
4074.210,4076.063,1.853,observation gap
4112.463,4180.000,67.537,decontamination {\#}6 
4271.753,4275.200,3.445,PAA anomaly 
4477.441,4481.000,3.550,PAA anomaly 
4512.502,4515.000,2.498,PAA anomaly 
4545.144,4548.000,2.856,PAA anomaly 
5078.547,5080.600,2.053,STR anomaly 
